# name                 tmax      tail     angle-TE     cst-u    cst-l  (n_cst=10) 
  BAC-1                0.10033   0.00196     0.005     0.11235074     0.12314748     0.11828136     0.14343793     0.12642265     0.17964547     0.14833508     0.23596378     0.18284301     0.17852053    -0.08779933    -0.05525021    -0.18424456     0.00431295    -0.22963867    -0.09448687    -0.19232053     0.06706386    -0.01114363     0.07545622
  CAST-10-2-(S)        0.12207   0.00500     0.000     0.12436694     0.16738803     0.08319724     0.20044398     0.09411206     0.19472704     0.16234206     0.23737022     0.18119091     0.18745450    -0.10080815     0.02688393    -0.34017336     0.37270006    -0.72483763     0.45320411    -0.51966400     0.15497188    -0.14717426    -0.00510329
  Cessna-(S)           0.11545   0.00489    -0.140     0.14801297     0.09422074	0.14148900	0.18154871	0.00334456	0.32433488	0.02350463	0.19201232	0.11672413	0.12873228	-0.14132286	0.03112455	-0.27540718	0.15830130	-0.46365266	0.26035811	-0.36411860	0.12431964	-0.04053529	0.03375935
  DFVLR-R4-(S)         0.13377   0.00510    -0.839     0.14142734 	0.08822520 	0.15059814 	0.05781753 	0.22063915 	0.01900738 	0.24419686 	0.12999841 	0.16002959 	0.18563030 	-0.07858283 	-0.10885042 	-0.03084801 	-0.20077695 	-0.02872250 	-0.06393402 	-0.22466102 	0.05426586 	-0.01000141 	0.15467115 
  MBB-VA-2             0.12906   0.00000     0.000     0.10425035     0.20639714     0.02510427     0.41117633    -0.21470774     0.67687418    -0.26201544     0.50230279     0.12511320     0.07093797    -0.14277039    -0.17479832    -0.13725329    -0.16582122    -0.35831807     0.19915764    -0.46568052     0.11510554     0.08614653     0.03229728
  NACA65(1)-213-(S)    0.13020   0.00000     0.000     0.13328170     0.07482743 	0.31257420 	-0.13648612 	0.55708614 	-0.14827394 	0.41218978 	0.01837791 	0.20254582 	0.03547713 	-0.09515500 	-0.05927146 	-0.16839538 	0.02696766 	-0.27600354 	0.03234398 	-0.21598952 	-0.02145747 	-0.12219337 	0.00092794 
  NLR-7301-(S)         0.16523   0.00110     0.000     0.23094782 	0.06607180 	0.21106810 	0.09402373 	0.16193484 	0.14703038 	0.18931510 	0.16184384 	0.15868254 	0.13053336 	-0.18845435 	-0.01523383 	-0.36259499 	0.27901461 	-0.65113226 	0.34157614 	-0.45641837 	0.10428214 	-0.05402866 	0.08154614 
  NPL-9510             0.11079   0.00488     0.141     0.18363925    -0.03914889     0.41985720    -0.43117577     0.85390531    -0.59368740     0.69649999    -0.10314407     0.31182031     0.18183152    -0.19663030    -0.10123816    -0.36608322     0.23590148    -0.79626247     0.52945590    -0.58813379     0.25727908    -0.05150438     0.12911670
  OAT15A-(S)           0.12287   0.00500     0.000     0.15388708     0.10861244 	0.14643694 	0.11460878 	0.16582664 	0.12140319 	0.18082441 	0.20147211 	0.13265742 	0.16596520 	-0.10906740 	-0.10688012 	-0.17858081 	0.00510991 	-0.34197674 	0.20197471 	-0.33791516 	0.16986920 	0.01520558 	0.09801934 
  RA16SC1-(S)          0.16749   0.00000    -1.185     0.15564322 	0.12988342 	0.15677866 	-0.00376037 	0.46210610 	-0.35110277 	0.64226933 	-0.14490229 	0.28795274 	0.20722017 	-0.16258486 	-0.21920572 	0.02117618 	-0.48837085 	0.38270838 	-0.70835454 	0.35388074 	-0.37199650 	0.12195316 	0.04104110  
