# name                 tmax      tail     angle-TE     cst-u    cst-l  (n_cst=10) 
  BAC-1                0.10033   0.00196     0.005     0.11235074     0.12314748     0.11828136     0.14343793     0.12642265     0.17964547     0.14833508     0.23596378     0.18284301     0.17852053    -0.08779933    -0.05525021    -0.18424456     0.00431295    -0.22963867    -0.09448687    -0.19232053     0.06706386    -0.01114363     0.07545622
  CAST-10-2            0.12207   0.00500     0.000     0.15545868     0.20923504     0.10399655     0.25055497     0.11764008     0.24340880     0.20292758     0.29671278     0.22648864     0.23431813    -0.12601019     0.03360491    -0.42521670     0.46587507    -0.90604704     0.56650514    -0.64958000     0.19371485    -0.18396782    -0.00637911
  Cessna               0.11545   0.00489    -0.140     0.18501621     0.11777592     0.17686125     0.22693589     0.00418070     0.40541860     0.02938079     0.24001540     0.14590516     0.16091535    -0.17665357     0.03890569    -0.34425898     0.19787662    -0.57956583     0.32544764    -0.45514825     0.15539955    -0.05066911     0.04219919
  DFVLR-R4             0.13377   0.00510    -0.839     0.22098023     0.13785187     0.23530959     0.09033989     0.34474867     0.02969904     0.38155760     0.20312251     0.25004624     0.29004734    -0.12278567    -0.17007878    -0.04820001    -0.31371399    -0.04487890    -0.09989690    -0.35103285     0.08479040    -0.01562720     0.24167368
  MBB-VA-2             0.12906   0.00000     0.000     0.10425035     0.20639714     0.02510427     0.41117633    -0.21470774     0.67687418    -0.26201544     0.50230279     0.12511320     0.07093797    -0.14277039    -0.17479832    -0.13725329    -0.16582122    -0.35831807     0.19915764    -0.46568052     0.11510554     0.08614653     0.03229728
  NACA65(1)-213        0.13020   0.00000     0.000     0.16660212     0.09353429     0.39071775    -0.17060765     0.69635768    -0.18534243     0.51523723     0.02297239     0.25318228     0.04434641    -0.11894375    -0.07408932    -0.21049423     0.03370958    -0.34500442     0.04042998    -0.26998690    -0.02682184    -0.15274171     0.00115993
  NLR-7301             0.16523   0.00110     0.000     0.36085597     0.10323719     0.32979391     0.14691207     0.25302319     0.22973496     0.29580484     0.25288100     0.24794147     0.20395838    -0.29445992    -0.02380286    -0.56655468     0.43596032    -1.01739415     0.53371273    -0.71315370     0.16294084    -0.08441977     0.12741585
  NLR-QE               0.11653   0.00000     0.000     0.30761127    -0.10759484     0.67928550    -0.70620711     1.22671513    -0.90201029     0.96441073    -0.32237323     0.39174683     0.03222725    -0.30761127     0.10759484    -0.67928550     0.70620711    -1.22671513     0.90201029    -0.96441073     0.32237323    -0.39174683    -0.03222725
  NPL-9510             0.11079   0.00488     0.141     0.18363925    -0.03914889     0.41985720    -0.43117577     0.85390531    -0.59368740     0.69649999    -0.10314407     0.31182031     0.18183152    -0.19663030    -0.10123816    -0.36608322     0.23590148    -0.79626247     0.52945590    -0.58813379     0.25727908    -0.05150438     0.12911670
  OAT15A               0.12287   0.00500     0.000     0.19235885     0.13576555     0.18304617     0.14326097     0.20728330     0.15175399     0.22603051     0.25184014     0.16582178     0.20745650    -0.13633425    -0.13360015    -0.22322601     0.00638739    -0.42747092     0.25246839    -0.42239395     0.21233650     0.01900697     0.12252417
  RA16SC1              0.16749   0.00000    -1.185     0.24319253     0.20294285     0.24496665    -0.00587557     0.72204078    -0.54859808     1.00354583    -0.22640982     0.44992616     0.32378151    -0.25403885    -0.34250894     0.03308778    -0.76307945     0.59798184    -1.10680397     0.55293866    -0.58124452     0.19055181     0.06412673
  RAE2822              0.12106   0.00000     0.000     0.12829643     0.12670863     0.16065898     0.14942386     0.15102884     0.22416928     0.16078175     0.20998555     0.18608795     0.21052324    -0.12927128    -0.13176061    -0.17044964    -0.07045476    -0.33888064     0.00991923    -0.20070721    -0.03536713    -0.04397496     0.06436195
  SC(2)-0010           0.09996   0.00500     0.000     0.16305624     0.07660073     0.18055991     0.06871214     0.16467187     0.09888935     0.23627325     0.02094292     0.16499815     0.09136995    -0.16305624    -0.07660073    -0.18055991    -0.06871214    -0.16467187    -0.09888935    -0.23627325    -0.02094292    -0.16499815    -0.09136995
  SC(2)-0012           0.11995   0.00600     0.000     0.19562272     0.09226575     0.21572990     0.08412847     0.19545742     0.12072594     0.28204652     0.02592374     0.19769157     0.10972494    -0.19562272    -0.09226575    -0.21572990    -0.08412847    -0.19545742    -0.12072594    -0.28204652    -0.02592374    -0.19769157    -0.10972494
